epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6369776725769043,0.7222741842269897,0.001,0.6461004018783569,0.7008209824562073
1,0.7033772468566895,0.5690659880638123,0.001,0.7067307829856873,0.5577351450920105
2,0.7467086315155029,0.5084201097488403,0.001,0.7988781929016113,0.4417724609375
3,0.7743560671806335,0.46803420782089233,0.001,0.7716346383094788,0.4806010127067566
4,0.7918717861175537,0.4409514367580414,0.001,0.7748397588729858,0.4804452061653137
5,0.8093875050544739,0.4174917936325073,0.001,0.8269230723381042,0.38082918524742126
6,0.8222667574882507,0.3933577239513397,0.001,0.8306623697280884,0.3818894028663635
7,0.8305094242095947,0.3771038055419922,0.001,0.8108974099159241,0.4314691722393036
8,0.8429307341575623,0.35263827443122864,0.001,0.8498931527137756,0.35092028975486755
9,0.8503147959709167,0.3453512191772461,0.001,0.7700320482254028,0.6499924063682556
10,0.8555809855461121,0.32742422819137573,0.001,0.8830128312110901,0.2785373628139496
11,0.8599885702133179,0.31276002526283264,0.001,0.8926281929016113,0.2551443874835968
12,0.860560953617096,0.31981900334358215,0.001,0.8693910241127014,0.28182142972946167
13,0.8686319589614868,0.30478042364120483,0.001,0.7759081125259399,0.7228099703788757
14,0.8723526000976562,0.29453614354133606,0.001,0.8725961446762085,0.3119164705276489
15,0.87693190574646,0.2875911593437195,0.001,0.8720619678497314,0.3108949661254883
16,0.8891242146492004,0.26111212372779846,0.0005,0.9078525900840759,0.21651676297187805
17,0.8932455778121948,0.2525497376918793,0.0005,0.8979700803756714,0.2419419288635254
18,0.8944476246833801,0.2527088522911072,0.0005,0.9204059839248657,0.19382230937480927
19,0.8979965448379517,0.24466867744922638,0.0005,0.9188033938407898,0.19871342182159424
20,0.8965082764625549,0.24558179080486298,0.0005,0.90625,0.2503317594528198
21,0.903262734413147,0.23639635741710663,0.0005,0.898771345615387,0.24848580360412598
22,0.9062964916229248,0.22186991572380066,0.0005,0.9001068472862244,0.24400533735752106
23,0.9103606343269348,0.21200306713581085,0.00025,0.9169337749481201,0.20611105859279633
24,0.9173440337181091,0.20316903293132782,0.00025,0.9091880321502686,0.24232368171215057
25,0.9149398803710938,0.20403894782066345,0.00025,0.9204059839248657,0.2041444331407547
26,0.919232964515686,0.19887804985046387,0.00025,0.9201388955116272,0.20184460282325745
27,0.9225529432296753,0.19047904014587402,0.000125,0.9075854420661926,0.23177020251750946
28,0.9231253862380981,0.18792274594306946,0.000125,0.9233440160751343,0.19273775815963745
29,0.9246708750724792,0.18111363053321838,0.000125,0.9233440160751343,0.19467493891716003
30,0.9259874224662781,0.1854247897863388,0.000125,0.9169337749481201,0.21186229586601257
31,0.9244991540908813,0.18304283916950226,0.000125,0.9185363054275513,0.20084868371486664
32,0.9270177483558655,0.17766617238521576,0.000125,0.9270833134651184,0.18706496059894562
33,0.9262163639068604,0.1813282072544098,0.000125,0.9201388955116272,0.20654551684856415
34,0.9266743063926697,0.17878185212612152,0.000125,0.9228098392486572,0.20211456716060638
35,0.9274184107780457,0.17780494689941406,0.000125,0.9150640964508057,0.21944667398929596
36,0.9321122169494629,0.1705717146396637,0.000125,0.9233440160751343,0.20043125748634338
37,0.93153977394104,0.16834311187267303,6.25e-05,0.9286859035491943,0.1875396966934204
38,0.933256983757019,0.16864876449108124,6.25e-05,0.9233440160751343,0.19658324122428894
39,0.9350886940956116,0.16471001505851746,6.25e-05,0.9260149598121643,0.1968570500612259
40,0.9334287643432617,0.1677302122116089,6.25e-05,0.9225427508354187,0.20517387986183167
41,0.9340011477470398,0.1641654670238495,6.25e-05,0.9244123697280884,0.20051820576190948
42,0.9318259954452515,0.16616778075695038,3.125e-05,0.9228098392486572,0.2005481719970703
